   timestep             momentum      temperature  total_potential   total_pressure
      13700      6.687184584e-09     0.2447678149      97457.60938   -0.05568819121
      13800       4.53030724e-09     0.2462063432      97467.11719   -0.05570195243
      13900      8.342129654e-09     0.2473997176      97476.19531    -0.0557173714
      14000      7.602728225e-09     0.2486984581      97484.57031   -0.05573369935
      14100      1.023729279e-08      0.250457257      97492.17188   -0.05575031042
      14200      8.521657158e-09     0.2525563538          97499.5   -0.05576637387
      14300      1.107380054e-08     0.2541824877      97506.39062   -0.05578546971
      14400      9.938167622e-09     0.2572628558      97512.76562   -0.05579793081
      14500      7.062339602e-09      0.260805428       97518.6875   -0.05580830574
      14600      1.063645971e-08     0.2638482451      97524.53906   -0.05582122877
      14700      1.036814634e-08     0.2663639486      97530.23438   -0.05583655089
      14800      6.939343322e-09     0.2688550949      97535.76562   -0.05585253984
      14900      7.176017114e-09     0.2707783282       97541.0625   -0.05587133393
      15000      1.061479526e-08     0.2725274265      97546.52344   -0.05588967726
      15100      7.008964964e-09      0.274589628      97552.10938   -0.05590524152
      15200      1.080947687e-08     0.2771297097        97557.875   -0.05591810122
